open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719792000000,62766.10,62809.50,62714.40,62714.50,880.890,1719792299999,55289054.73310,11067,351.819,22085378.71710,0
1719792300000,62714.40,62795.60,62635.30,62635.40,1073.053,1719792599999,67285236.98650,13132,359.088,22523768.60850,0
1719792600000,62635.40,62664.70,62562.00,62621.90,1054.036,1719792899999,65991294.28710,13862,436.718,27342903.65330,0
1719792900000,62621.90,62691.90,62611.20,62682.70,562.891,1719793199999,35270150.55340,7856,362.831,22735037.93740,0
1719793200000,62682.80,62744.00,62660.50,62660.60,496.986,1719793499999,31165666.48570,7542,319.798,20054755.69990,0
1719793500000,62660.60,62743.00,62660.50,62722.70,292.518,1719793799999,18343277.18760,4783,171.541,10756753.22920,0
1719793800000,62722.70,62741.70,62677.80,62730.40,307.399,1719794099999,19278694.11740,5573,173.431,10877406.15600,0
1719794100000,62730.50,62769.10,62701.00,62756.30,333.281,1719794399999,20908038.39130,5864,200.741,12593572.60520,0
1719794400000,62756.40,62838.40,62756.30,62790.90,588.667,1719794699999,36973234.27600,7438,380.590,23904323.74340,0
1719794700000,62790.80,62884.00,62786.70,62845.50,505.934,1719794999999,31797066.96590,6756,294.311,18495817.60650,0
1719795000000,62845.50,62867.70,62792.00,62842.40,609.313,1719795299999,38287650.94610,5588,185.776,11673479.81320,0
1719795300000,62842.50,62935.20,62842.50,62924.60,451.833,1719795599999,28419731.57560,6297,276.054,17362692.18310,0
1719795600000,62924.70,62988.80,62881.30,62982.60,1017.120,1719795899999,64016011.67850,10989,512.291,32246390.94450,0
1719795900000,62982.60,63356.00,62975.50,63299.90,6240.045,1719796199999,394621407.27270,49947,4125.433,260863045.48020,0
1719796200000,63299.90,63686.50,63259.00,63642.70,7714.855,1719796499999,490029560.16320,57689,4780.412,303631343.54350,0
1719796500000,63642.70,63650.00,63401.50,63469.50,2592.468,1719796799999,164609057.54440,23991,1129.425,71713495.21340,0
1719796800000,63469.50,63535.40,63415.00,63475.60,998.442,1719797099999,63369724.34840,13760,454.306,28836003.54900,0
1719797100000,63475.50,63491.90,63410.00,63475.30,634.590,1719797399999,40272152.76150,9354,297.277,18866206.18130,0
1719797400000,63475.40,63599.20,63462.10,63503.80,857.002,1719797699999,54431929.03390,12120,515.486,32742204.17120,0
1719797700000,63503.70,63672.90,63488.00,63604.40,919.695,1719797999999,58475104.26660,11298,461.579,29349860.88380,0
1719798000000,63604.30,63642.60,63548.80,63615.20,600.767,1719798299999,38208562.80180,8806,260.393,16561184.15930,0
1719798300000,63615.30,63635.10,63525.00,63565.50,762.332,1719798599999,48457929.71320,9163,319.654,20319330.95500,0
1719798600000,63565.40,63598.00,63540.40,63591.80,367.855,1719798899999,23382753.45190,5649,196.362,12481880.46710,0
