open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,34651.40,34684,34592,34615.40,2006.010,1698797099999,69482909.32840,22117,805.444,27904664.17420,0
1698797100000,34615.40,34673.10,34594.30,34611.60,1518.841,1698797399999,52601487.99540,19658,581.356,20137395.75170,0
1698797400000,34611.70,34619,34584.30,34604.60,1013.438,1698797699999,35065545.22250,14080,364.017,12595083.26160,0
1698797700000,34604.70,34647.70,34593,34628,968.312,1698797999999,33523355.92870,15522,413.782,14325239.18230,0
1698798000000,34627.90,34660,34540.50,34569.70,1387.118,1698798299999,47969947.22760,18820,566.180,19581165.97200,0
1698798300000,34569.60,34580.70,34513.80,34562.70,974.117,1698798599999,33647746.57210,13904,371.556,12835183.15110,0
1698798600000,34562.90,34599,34544,34587.90,731.233,1698798899999,25280064.78730,13940,302.541,10459776.08530,0
1698798900000,34587.90,34618.10,34580.70,34592.90,783.772,1698799199999,27119980.24146,11463,312.623,10817410.21856,0
1698799200000,34592.90,34604.70,34520.70,34524.20,800.961,1698799499999,27669452.31780,11953,311.150,10747076.05980,0
1698799500000,34524.20,34570,34524.10,34541.90,469.943,1698799799999,16235945.54510,7345,262.076,9054392.21070,0
1698799800000,34541.80,34561,34510,34520.40,410.129,1698800099999,14162501.47670,6213,125.925,4348960.66800,0
1698800100000,34520.40,34538.10,34506.70,34522.30,643.534,1698800399999,22214009.91240,8232,183.257,6326153.67290,0
1698800400000,34522.30,34538.40,34512,34520.20,563.908,1698800699999,19468899.16600,8107,200.894,6936111.64340,0
1698800700000,34520.20,34520.20,34475.30,34519.90,880.911,1698800999999,30390784.48860,12513,310.946,10727860.52350,0
1698801000000,34519.90,34545.50,34506.20,34535.80,400.127,1698801299999,13814911.30170,6800,266.682,9207654.64940,0
1698801300000,34535.70,34544.30,34508.20,34525.90,314.596,1698801599999,10861225.48970,5688,176.211,6083743.04070,0
1698801600000,34525.90,34564.60,34525.80,34545.40,616.852,1698801899999,21312180.99220,7203,510.172,17626666.38330,0
1698801900000,34545.40,34567.60,34540.40,34564.30,375.514,1698802199999,12976375.66530,5870,234.747,8111854.90880,0
1698802200000,34564.30,34575,34555.80,34572,350.067,1698802499999,12100965.44810,4990,217.807,7529207.06570,0
1698802500000,34571.90,34572,34522,34524.90,273.561,1698802799999,9451480.92830,4731,86.554,2990924.05050,0
1698802800000,34524.80,34524.90,34493.80,34516.10,429.438,1698803099999,14818165.00530,6314,186.122,6422102.79140,0
1698803100000,34516,34530,34486.40,34530,635.419,1698803399999,21926098.05700,6589,394.613,13616276.31930,0
1698803400000,34529.90,34532.80,34501,34501.10,234.686,1698803699999,8100548.64300,3842,72.836,2513996.33740,0
1698803700000,34501,34508.50,34495.40,34507,178.756,1698803999999,6167709.87490,2743,82.520,2847176.11370,0
1698804000000,34507,34507.10,34434.50,34485.60,1348.281,1698804299999,46469862.03240,14639,377.039,12994649.85840,0
1698804300000,34485.60,34499.40,34474,34483.90,371.442,1698804599999,12808701.17790,5703,156.235,5387602.63580,0
1698804600000,34483.90,34503.60,34483.80,34503.20,283.708,1698804899999,9787198.11630,3981,180.181,6215585.77150,0
1698804900000,34503.30,34510.20,34477.50,34477.50,312.416,1698805199999,10776839.54450,3952,107.903,3722047.93940,0
1698805200000,34477.50,34490,34468,34483.20,337.905,1698805499999,11650168.26980,3965,152.778,5267626.99700,0
1698805500000,34483.20,34488.70,34483.20,34486.30,80.666,1698805799999,2781991.22040,1432,54.124,1866603.11620,0
